"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CODIGO","DESCRICAO","","","","","","","","NR FABRIC.","","Nro.: ORIGINAL","","","SKU","","UN.COMP","CUSTO UL C.","","CUSTO MEDIO","","","TRIB.SAI","QTDE ESTQ.","EST.MIN.","","(EST-PEND","LINHA","","","UL.COMPRA","","SAIDA.","ENTR.","","SALDO","CONDIÇÃ","","SAIDA  ","ENTR.  ","SALDO  ","CONDIÇÃ","","PESO BRUTO",""
"33049","ABRACADEIRA 5"" INOX TUBO FLEXIVEL - VOLVO FH/NH FINA","","","","","","","","B071X","","20455908","","","7455","","PC ","42.85 ","","42.85 ","","","S1   ","5.00 ","4.00 ","","1","SALÃO OK","","","9999-1/2-/31","","0","6 ","","6","S/Analise","","0","4","4","S/Analise","","1",""
"3489","ABRACADEIRA 5"" INOX TUBO FLEXIVEL - VOLVO FH/NH FINA","","","","","","","","B071X","","20455908","","","","","PC ","42.85 ","","42.60 ","","","S1   ","3.00 ","5.00 ","","-2","LOJA RP OK","","","9999-1/2-/31","","0","38 ","","38","S/Analise","","0","4","4","S/Analise","","0",""
"5249","ABRACADEIRA 5"" INOX TUBO MOTOR MB ACTROS / AXOR 2035 2040 2044 2540 2544 2640 2644 3044 3344","","","","","","","","B074R","","A9429970290","","","","","PC","33.87 ","","22.58 ","","","S1   ","2.00 ","2.00 ","","0","LOJA RP OK","","","9999-1/2-/31","","0","2 ","","2","S/Analise","","0","0","0","C/Analise","","0",""
"38446","ABRACADEIRA 5"" INOX TUBO MOTOR MB ACTROS / AXOR 2035 2040 2044 2540 2544 2640 2644 3044 3344","","","","","","","","B074R","","A9429970290","","","7475","","PC ","33.88 ","","28.32 ","","","S1   ","2.00 ","3.00 ","","-1","SALÃO OK","","","9999-1/2-/31","","0","2 ","","2","S/Analise","","0","0","0","C/Analise","","0.5",""
"40495","ABRACADEIRA 5"" INOX TUBO MOTOR MB ACTROS / AXOR 2035 2040 2044 2540 2544 2640 2644 3044 3344 (CAD BAURU)","","","","","","","","B074R","","A9429970290","","","","","PC ","0.00 ","","0.00 ","","","S1   ","0.00 ","0.00 ","","0","CADASTRADO POR BAURU","","","9999-1/2-/31","","0","0 ","","0","C/analise","","0","0","0","C/Analise","","0",""
"3434","ABRACADEIRA 5"" PINTADA C/ SUP DIANTEIRA PONTEIRA ESCAPAMENTO","","","","","","","","B069A","","","","","","","PC ","25.32 ","","23.20 ","","","S1   ","0.00 ","1.00 ","","-1","LOJA RP OK","","","9999-1/2-/31","","0","3 ","","3","S/Analise","","0","0","0","C/Analise","","0",""
"3435","ABRACADEIRA 5"" PINTADA C/ SUP TRASEIRA PONTEIRA ESCAPAMENTO","","","","","","","","B069B","","","","","","","PC ","23.22 ","","20.14 ","","","S1   ","1.00 ","1.00 ","","0","LOJA RP OK","","","9999-1/2-/31","","0","5 ","","5","S/Analise","","0","0","0","C/Analise","","0",""
"30860","ABRACADEIRA 5"" PINTADA C/ SUP TRASEIRA PONTEIRA ESCAPAMENTO","","","","","","","","B069B","","","","","","","PC ","20.74 ","","20.74 ","","","S1   ","0.00 ","2.00 ","","-2","SALÃO OK","","","9999-1/2-/31","","0","2 ","","2","S/Analise","","0","0","0","C/Analise","","0",""
"30844","ABRACADEIRA 5"" PINTADA C/ SUPORTE RETO ALÇA ","","","","","","","","B074G","","","","","7463","","PC ","17.54 ","","17.54 ","","","S1   ","0.00 ","2.00 ","","-2","SALÃO OK","","","9999-1/2-/31","","0","7 ","","7","S/Analise","","0","0","0","C/Analise","","0.5",""
"3521","ABRACADEIRA 5"" PINTADA C/ SUPORTE RETO ALÇA ","","","","","","","","B074G","","","","","","","PC ","14.81 ","","16.76 ","","","S1   ","2.00 ","2.00 ","","0","LOJA RP OK","","","9999-1/2-/31","","0","9 ","","9","S/Analise","","0","0","0","C/Analise","","0",""
"3488","ABRACADEIRA 5"" PINTADA TUBO MOTOR - VOLVO FH/NH","","","","","","","","B071W","","1629499","","","","","PC ","22.57 ","","19.70 ","","","S1   ","1.00 ","4.00 ","","-3","LOJA RP OK","","","9999-1/2-/31","","0","24 ","","24","S/Analise","","0","0","0","C/Analise","","0",""
"31822","ABRACADEIRA 5"" PINTADA TUBO MOTOR - VOLVO FH/NH","","","","","","","","B071W","","1629499","","","7471","","PC ","18.04 ","","16.38 ","","","S1   ","0.00 ","4.00 ","","-4","SALÃO OK","","","9999-1/2-/31","","0","7 ","","7","S/Analise","","0","0","0","C/Analise","","0.5",""
"27776","ABRACADEIRA 5,5"" PINTADA","","","","","","","","B074P","","","","","","","PC ","30.11 ","","30.11 ","","","S1   ","3.00 ","6.00 ","","-3","RP BLOQUEADO","","","9999-1/2-/31","","0","3 ","","3","S/Analise","","0","0","0","C/Analise","","0",""
"15365","ABRACADEIRA C/ CANALETA 5"" ACO INOX P/ ESCAPAMENTO SCANIA EURO 5 (1863382)","","","","","","","","B069L","","","","","","","PC","45.12 ","","42.76 ","","","S1   ","1.00 ","4.00 ","","-3","LOJA ERRO ESTOQUE","","","9999-1/2-/31","","0","7 ","","7","S/Analise","","0","0","0","C/Analise","","0",""
