"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CODIGO","DESCRICAO","","","","","","","","NR FABRIC.","","Nro.: ORIGINAL","","","SKU","","UN.COMP","CUSTO UL C.","","CUSTO MEDIO","","","TRIB.SAI","QTDE ESTQ.","EST.MIN.","","(EST-PEND","LINHA","","","UL.COMPRA","","SAIDA.","ENTR.","","SALDO","CONDIÇÃ","","SAIDA  ","ENTR.  ","SALDO  ","CONDIÇÃ","","PESO BRUTO",""
"130","VIDRO ESPELHO MB 709/912 PRINCIPAL CONVEXO (ESPELHO M026E)","","","","","","","","D720C","","","","","","","PC ","00.03","","00.03","","","S1   ","00.00","00.00","","0","LEVE","","","9999-1/2-/31","","0","00","","6","S/Analise","","0","0","0","C/Analise","","0",""
"131","VIDRO ESPELHO MB 709/912 AUXILIAR CONVEXO (M026F/G) ","","","","","","","","D720D","","","","","","","PC ","00.01","","00.01","","","S1   ","00.00","00.00","","2","MIN/MAG/TRIB=OK","","","9999-1/2-/31","","0","00","","6","S/Analise","","0","0","0","C/Analise","","0",""
"132","VIDRO ESPELHO MB 709/912 PRINCIPAL PLANO (M026F/G) ","","","","","","","","D720E","","","","","","","PC ","00.01","","00.01","","","S1   ","00.00","00.00","","0","MINIMO AVALIAÇÃO","","","9999-1/2-/31","","0","00","","6","S/Analise","","0","0","0","C/Analise","","0",""
"133","VIDRO ESPELHO VW 8.150/DELIVERY PRINCIPAL CONVEXO (M026H)","","","","","","","","D720F","","","","","","","PC ","00.00","","00.00","","","S1   ","00.13","00.14","","-2","LOJA ERRO ESTOQUE","","","9999-1/2-/31","","0","00","","0","C/analise","","0","0","0","C/Analise","","0",""
"134","VIDRO ESPELHO SCANIA SERIE 4 MAIOR CONVEXO S/ MOLDURA (S245) ","","","","","","","","D720G","","","","","","","PC ","00.00","","00.00","","","S1   ","00.00","00.00","","0","LEVE","","","9999-1/2-/31","","0","00","","0","C/analise","","0","0","0","C/Analise","","0",""
"135","VIDRO ESPELHO SCANIA SERIE 4 MENOR CONVEXO L/D (S245)","","","","","","","","D720H","","","","","","","PC ","00.02","","00.00","","","S1   ","00.00","00.00","","-1","MINIMO AVALIAÇÃO","","","9999-1/2-/31","","0","00","","0","C/analise","","0","0","0","C/Analise","","0",""
"136","VIDRO ESPELHO SCANIA SERIE 4 MAIOR (S245A) ","","","","","","","","D720I","","","","","","","PC ","00.03","","00.03","","","S1   ","00.00","00.00","","0","FALTA BALANÇO","","","9999-1/2-/31","","0","00","","0","C/analise","","0","0","0","C/Analise","","0",""
"137","VIDRO ESPELHO PLANO  FORD/VW (W905)","","","","","","","","D720J","","","","","","","PC ","00.01","","00.01","","","S1   ","00.00","00.01","","-7","LOJA ERRO ESTOQUE","","","9999-1/2-/31","","0","00","","130","S/Analise","","0","0","0","C/Analise","","0",""
"138","VIDRO ESPELHO VOLVO FH/NH MAIOR CONVEXO S/ DESMB (V822) ","","","","","","","","D720K","","153702670","","","","","PC ","00.05","","00.05","","","S1   ","00.00","00.00","","0","LOJA RP OK","","","9999-1/2-/31","","0","00","","6","S/Analise","","0","0","0","C/Analise","","0",""
"139","ESPELHO RETROVISOR VW DELIVERY 2018 L/E (COMPLETO INTEIRO PLANO)","","","","","","","","W807A","","","","","","","PC ","00.00","","00.00","","","S1   ","00.00","00.00","","1","LOJA RP OK","","","9999-1/2-/31","","0","00","","0","C/analise","","0","0","0","C/Analise","","0",""
"140","VIDRO ESPELHO SCANIA SERIE 4 MAIOR PLANO (S243/A) ","","","","","","","","D720M","","","","","","","PC ","00.00","","00.00","","","S1   ","00.00","00.00","","1","LEVE","","","9999-1/2-/31","","0","00","","0","C/analise","","0","0","0","C/Analise","","0",""
"141","VIDRO ESPELHO SCANIA SERIE 4 MENOR CONVEXO (S243/A) ","","","","","","","","D720N","","","","","","","PC ","00.00","","00.00","","","S1   ","00.00","00.00","","0","LEVE","","","9999-1/2-/31","","0","00","","0","C/analise","","0","0","0","C/Analise","","0",""
"143","VIDRO ESPELHO SCANIA SERIE 4 MAIOR CONVEXO C/MOLDURA LD/LE","","","","","","","","D720P","","","","","","","PC ","00.06","","00.06","","","S1   ","00.00","00.00","","0","MINIMO AVALIAÇÃO","","","9999-1/2-/31","","0","00","","2","S/Analise","","0","0","0","C/Analise","","0",""
"144","ESPELHO RETROVISOR VW DELIVERY 2018 L/D (COMPLETO INTEIRO PLANO)","","","","","","","","W807","","","","","","","PC ","00.00","","00.00","","","S1   ","00.00","00.00","","0","LOJA RP OK","","","9999-1/2-/31","","0","00","","0","C/analise","","0","0","0","C/Analise","","0",""
"145","ESPELHO RETROVISOR VW DELIVERY 2018 L/D (COMPLETO BIFOCAL CONVEXO)","","","","","","","","W806","","","","","","","PC ","00.00","","00.00","","","S1   ","00.00","00.00","","0","LOJA RP OK","","","9999-1/2-/31","","0","00","","0","C/analise","","0","0","0","C/Analise","","0",""
"146","ESPELHO RETROVISOR VW DELIVERY 2018 L/E (COMPLETO BIFOCAL CONVEXO)","","","","","","","","W806A","","","","","","","PC ","00.28","","00.14","","","S1   ","00.00","00.00","","0","LOJA RP OK","","","9999-1/2-/31","","0","00","","1","S/Analise","","0","0","0","C/Analise","","0",""
"154","ESPELHO RETROVISOR MB 1113/2013 (AVULSO PLANO 19MM BIFOCAL) 210 x 375mm ORIGINAL","","","","","","","","M025A","","3508117016 E/D","","","","","PC ","00.04","","00.04","","","S1   ","00.01","00.01","","0","LOJA ERRO ESTOQUE","","","9999-1/2-/31","","0","00","","36","S/Analise","","0","0","0","C/Analise","","0",""
"155","ESPELHO RETROVISOR MB 1113/2013 (AVULSO PLANO 16MM) 210 x 375mm ORIGINAL","","","","","","","","M025C","","","","","","","PC ","00.06","","00.05","","","S1   ","00.01","00.02","","-10","LOJA ERRO ESTOQUE","","","9999-1/2-/31","","0","00","","310","S/Analise","","0","2","2","S/Analise","","0",""
"156","ESPELHO RETROVISOR MB 1113/2013 (AVULSO PLANO 19MM) 210 x 375mm ORIGINAL","","","","","","","","M025D","","3318100016","","","","","PC ","00.06","","00.06","","","S1   ","00.01","00.02","","-10","LOJA RP OK","","","9999-1/2-/31","","0","00","","276","S/Analise","","0","2","2","S/Analise","","0",""
"157","ESPELHO RETROVISOR MB HPN (AVULSO PLANO) 195 x 420mm","","","","","","","","M025E","","3848107116","","","","","PC ","00.06","","00.06","","","S1   ","00.01","00.01","","-1","LOJA RP OK","","","9999-1/2-/31","","0","00","","108","S/Analise","","0","2","2","S/Analise","","0",""
"159","ESPELHO RETROVISOR GM C10/D10/F1000/KOMBI/TOYOTA (AVULSO)","","","","","","","","M026A","","94638816","","","","","PC ","00.02","","00.02","","","S1   ","00.01","00.01","","0","LOJA ERRO ESTOQUE","","","9999-1/2-/31","","0","00","","36","S/Analise","","0","0","0","C/Analise","","0",""
"160","ESPELHO RETROVISOR MB 709/912/ VW 8.150 (AVULSO PLANO 19MM) 180 x 310mm ","","","","","","","","M026B","","688107216","","","","","PC ","00.03","","00.03","","","S1   ","00.01","00.01","","-4","LOJA ERRO ESTOQUE","","","9999-1/2-/31","","0","00","","142","S/Analise","","0","0","0","C/Analise","","0",""
"161","ESPELHO RETROVISOR MB HPN (AVULSO CONVEXO) 210 x 430mm ","","","","","","","","M026E","","3848107116","","","","","PC ","00.10","","00.10","","","S1   ","00.01","00.01","","-1","LOJA RP OK","","","9999-1/2-/31","","0","00","","94","S/Analise","","0","2","2","S/Analise","","0",""
"162","ESPELHO RETROVISOR MB HPN (AVULSO CONVEXO BIFOCAL) L/D 210 x 430mm","","","","","","","","M026F","","6828107916","","","","","PC ","00.08","","00.07","","","S1   ","00.00","00.01","","-1","LOJA RP OK","","","9999-1/2-/31","","0","00","","32","S/Analise","","0","2","2","S/Analise","","0",""
"163","ESPELHO RETROVISOR MB HPN (AVULSO CONVEXO BIFOCAL) L/E 210 x 430mm","","","","","","","","M026G","","6828108016","","","","","PC ","00.09","","00.09","","","S1   ","00.00","00.01","","-1","LOJA RP OK","","","9999-1/2-/31","","0","00","","36","S/Analise","","0","2","2","S/Analise","","0",""
"164","ESPELHO RETROVISOR MB 709/912 (AVULSO CONVEXO 19MM) 180 x 310mm","","","","","","","","M026H","","","","","","","PC ","00.04","","00.04","","","S1   ","00.01","00.01","","-1","RP BLOQUEADO","","","9999-1/2-/31","","0","00","","38","S/Analise","","0","0","0","C/Analise","","0",""
